item-name,category
"PowerA MOGA Mobile Gaming Game Streaming Phone Clip 2.0 for Xbox Series X/S and Xbox One Wireless Controllers, Black (Officially Licensed)","Gaming icially Licensed)"""
"PowerA Enhanced Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Arc Lightning, Blue (Officially Licensed)",Gaming Consoles
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2022 Model, PS-Q19YNZE, White)",Air Conditioners
"Whirlpool 1.5 Ton 5 Star, Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, 2022 Model, 1.5T Magicool Convert Pro 5S INV (N), White)",Air Conditioners
"Panasonic 1.5 Ton 5 Star Wi-Fi Twin-Cool Inverter Split Air Conditioner (Copper, Auto Convertible, Shield Blu Anti-Corrosion Technology, 2022 Model, CS/CU-NU18XKYWA, White)",Air Conditioners
"Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",Air Conditioners
"Samsung 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti Bacteria Filter, 2022 Model AR18BYMZAUR, White)",Air Conditioners
Voltas Inverter Split Air Conditioner 1.5 Ton 5 Star(VOLTAS SAC 185V DAZJ),Air Conditioners
"AmazonBasics 1.5 Ton 3 Star Inverter Split AC (White, Anti-Bacterial, Turbo Mode)",Air Conditioners
"Samsung 253 L 3 Star with Inverter Double Door Refrigerator (RT28A3453S8/HL, Elegant Inox)",Refrigerators
"Samsung 192 L 2 Star Direct Cool Single Door Refrigerator (RR19A241BGS/NL, Grey Silver)",Refrigerators
Samsung 345L 3 Star Inverter Frost Free Double Door Refrigerator,Refrigerators
"Samsung 198 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2XCR/HL, Camellia Purple, Base Stand with Drawer)",Refrigerators
"LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ASCY, Scarlet Charm, Base stand with Drawer)",Refrigerators
"Whirlpool 245 L 3 Star Frost-Free Inverter Double Door Refrigerator (NEO DF258 ROY GERMAN STEEL (3S)-N, German Steel)",Refrigerators
"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL, Imperial Silver, Diamond Drum)",Washing Machines
"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",Washing Machines
"LG 7 Kg 5 Star Inverter Touch Control Fully-Automatic Front Load Washing Machine with Heater (FHM1207SDL, Silver, 6 Motion Direct Drive)",Washing Machines
"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",Washing Machines
"Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.5, Grey, Hard Water Wash)",Washing Machines
"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In - built Heater (WAJ2416SIN, Silver)",Washing Machines
"Pigeon Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",Kitchen & Home Appliances
Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),Kitchen & Home Appliances
USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),Kitchen & Home Appliances
Prestige IRIS Plus 750 watt mixer grinder with Jar,Kitchen & Home Appliances
"Prestige Sandwich Maker PGMFD 01, Black",Kitchen & Home Appliances
"Lifelong LLMG23 Power Pro 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",Kitchen & Home Appliances
"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",Kitchen & Home Appliances
